term,estimate,penalty
estrategico,-0.0027224073062010593,8.68511373751352e-4
estrato,-0.004194289451166783,8.68511373751352e-4
estrenar,0.00351459479722464,8.68511373751352e-4
estudio,0.0247001992690508,8.68511373751352e-4
estufa,-0.006902945977499509,8.68511373751352e-4
etcetera,0.0028935790249909337,8.68511373751352e-4
excelente,-0.003541585229897243,8.68511373751352e-4
exclusivo,0.005806618071554722,8.68511373751352e-4
exito,-0.0013451945492382136,8.68511373751352e-4
experiencia,0,8.68511373751352e-4
exterior,0.0057345121643908,8.68511373751352e-4
facil,0,8.68511373751352e-4
facilidad,3.1756065167017824e-5,8.68511373751352e-4
familia,0,8.68511373751352e-4
familiar,-0.0016576125580005435,8.68511373751352e-4
family,0.006174370453965932,8.68511373751352e-4
fcil,-6.64256118031683e-4,8.68511373751352e-4
finca,0,8.68511373751352e-4
flor,0.0027872498155843443,8.68511373751352e-4
fondo,-0.002437563618733843,8.68511373751352e-4
frente,0.003887511408943834,8.68511373751352e-4
futbol,2.465935404277569e-4,8.68511373751352e-4
garaje,-0.011668149455911533,8.68511373751352e-4
gas,-1.2409242844374542e-4,8.68511373751352e-4
gimnasio,0.01079050703046722,8.68511373751352e-4
gisela,-6.34408131228376e-4,8.68511373751352e-4
golf,0.004556355688528149,8.68511373751352e-4
gran,0.007311121612236649,8.68511373751352e-4
grande,0.0030672181089961546,8.68511373751352e-4
gusto,0,8.68511373751352e-4
gym,0.00468985481353913,8.68511373751352e-4
habitacin,-0.0013448501072086236,8.68511373751352e-4
habitacion,-0.012096979008782236,8.68511373751352e-4
hacer,-7.345912421067219e-4,8.68511373751352e-4
hacia,0,8.68511373751352e-4
hall,0.010288244896452511,8.68511373751352e-4
hayuelo,-0.00761209246565029,8.68511373751352e-4
hermoso,0.0012732930211591467,8.68511373751352e-4
hogar,0,8.68511373751352e-4
hora,-0.004455341765962848,8.68511373751352e-4
horno,-5.543353629278274e-4,8.68511373751352e-4
hospital,-0.0011199949093339836,8.68511373751352e-4
hotel,8.709199192386697e-4,8.68511373751352e-4
housar,0.011129524508668515,8.68511373751352e-4
humeda,0.005985251986085327,8.68511373751352e-4
ideal,0,8.68511373751352e-4
iglesia,-0.004369098071088494,8.68511373751352e-4
iluminacin,-2.564440416928407e-4,8.68511373751352e-4
iluminacion,0,8.68511373751352e-4
iluminado,-0.010568903244863724,8.68511373751352e-4
importante,0,8.68511373751352e-4
incluir,0,8.68511373751352e-4
independiente,0.014603961105740058,8.68511373751352e-4
inf,-0.004467421102144518,8.68511373751352e-4
infantil,-0.0033684817219822704,8.68511373751352e-4
informacin,0.00205400906672023,8.68511373751352e-4
